German,English
der,the
die,the
und,and
in,in
den,the
von,from
zu,to
das,the
mit,with
sich,itself
des,of the
auf,on
für,for
ist,is
im,in the
dem,dem
nicht,not
ein,a
eine,one
als,as
auch,also
es,it
an,to
werden,become
aus,out of
er,he
hat,has
dass,that
sie,she
nach,after
wird,becomes
bei,at
einer,one
um,to
am,on
sind,are
noch,still
wie,How
einem,a
über,above
einen,a
so,so
zum,for the
war,was
haben,have
nur,only
oder,or
aber,but
vor,before
zur,to
bis,until
mehr,more
durch,through
man,one
sein,be
wurde,became
sei,be
Prozent,percent
hatte,had
kann,can
gegen,against
vom,from the
können,can
schon,already
wenn,if
habe,have
seine,his
ohne,without
ihre,her
dann,then
unter,under
wir,we
soll,should
ich,I
eines,one
dieser,this
ihn,him
seiner,his
wieder,again
keine,no
sehr,very
hier,here
muss,must
sagte,said
diese,this
diesem,this
jetzt,now
immer,always
ihm,him
uns,us
da,there
diesen,this
sondern,rather
wohl,probably
dieses,this
ihren,your
wäre,were
doch,but
dies,this
machen,make
dabei,included
wegen,because of
seinen,his
werde,become
seinem,his
ebenfalls,also
etwa,approximately
wenig,few
ihres,their
allen,all
heute,today
müssen,must
erst,first
bereits,already
hätten,would have
ihnen,them
andere,other
dazu,in addition
wer,who
zwar,that is
worden,been
damit,with it
seien,be
seit,since
zeit,time
viele,many
deren,whose
meine,mine
viel,much
ob,whether
denn,because
unsere,our
alles,everything
ihr,her
deutlich,clearly
nichts,nothing
beide,both
darauf,on it
neuen,new
unser,our
davon,of that
dein,your
neues,new
daher,therefore
damals,at that time
lange,long
dürfen,may
keiner,none
mich,me
würde,would
sagen,say
neue,new
gegenüber,opposite
zwischen,between
lange,long
dürfen,may
unser,our
daran,to it
deren,whose
beide,both
dafür,for that
darüber,about it
wieder,again
obwohl,although
jedoch,however
darüberhinaus,over and beyond
vielleicht,perhaps
einfach,simply
genau,Exactly
sogar,even
jedoch,however
eigentlich,actually
darüber,about it
genauso,just as
völlig,fully
genug,enough
niemals,never
wirklich,really
natürlich,naturally
deshalb,for this reason
trotzdem,despite it
außerdem,aside from that
allerdings,however
dennoch,nonetheless
vielleicht,perhaps
warum,Why
immer,always
heute,today
morgen,morning
gestern,yesterday
jetzt,now
danach,thereafter
vorher,previously
wieder,again
überall,everywhere
manchmal,sometimes
oft,often
bald,soon
